rank,lat,lon,returns,dwell,nscen,d_fixed_m,fixed_class,d_radar_m,d_shore_m,d_aid_m,d_ownship_m,d_ais_m,in_coverage,in_moorarea,class
279,42.378543,-71.049984,11,0.750,1,41.1,BUISGL,41.1,84.5,860.2,323.7,373.8,0,0,SUPPRESS_CHARTED
280,42.378483,-71.050881,11,0.918,1,10.0,BUISGL,10.0,107.6,886.8,394.0,421.9,0,0,SUPPRESS_CHARTED
281,42.374680,-71.041794,11,0.554,1,13.9,SLCONS,35.3,23.3,481.1,421.6,594.3,1,0,SUPPRESS_CHARTED
282,42.377399,-71.049950,11,0.907,1,9.3,BUISGL,9.3,55.3,744.5,297.1,486.1,0,0,SUPPRESS_CHARTED
283,42.379201,-71.047837,11,0.542,1,15.2,OBSTRN,25.4,25.4,730.6,169.5,247.4,0,0,SUPPRESS_CHARTED
284,42.379116,-71.046332,11,0.901,1,129.1,OBSTRN,141.1,141.1,666.7,66.8,277.6,0,0,UNKNOWN_OUTCOV
285,42.377129,-71.042630,11,0.837,1,3.9,SLCONS,40.3,40.3,678.2,299.9,315.4,0,0,SUPPRESS_CHARTED
286,42.376702,-71.050628,11,0.813,1,8.3,BUISGL,8.3,74.1,707.0,335.0,579.6,0,0,SUPPRESS_CHARTED
287,42.378975,-71.048151,11,0.636,1,5.3,SLCONS,5.3,5.3,766.3,186.0,275.2,0,0,SUPPRESS_CHARTED
288,42.377590,-71.041708,11,0.847,1,12.7,SLCONS,12.7,12.7,742.5,361.8,282.2,0,0,SUPPRESS_CHARTED
289,42.378729,-71.042979,11,0.805,1,5.6,SLCONS,5.6,5.6,618.4,244.6,136.3,0,0,SUPPRESS_CHARTED
290,42.380506,-71.049019,11,0.574,1,37.2,BUISGL,37.2,43.3,701.1,330.5,152.8,0,0,SUPPRESS_CHARTED
291,42.379184,-71.048104,11,0.594,1,3.7,SLCONS,3.7,3.7,746.2,189.1,251.7,0,0,SUPPRESS_CHARTED
292,42.378738,-71.050009,11,0.626,1,50.7,BUISGL,50.7,86.6,880.9,330.9,356.5,0,0,UNKNOWN_OUTCOV
293,42.375592,-71.048431,10,0.584,2,7.3,SLCONS,7.3,47.4,508.9,149.6,651.3,0,0,SUPPRESS_CHARTED
294,42.373748,-71.049314,10,0.443,2,16.8,SLCONS,16.8,16.8,388.2,323.3,607.9,1,0,SUPPRESS_CHARTED
295,42.374407,-71.049075,10,0.698,2,7.6,PONTON,7.6,45.9,426.5,258.4,667.4,1,0,SUPPRESS_CHARTED
296,42.374466,-71.049967,10,0.657,2,5.8,SLCONS,5.8,5.8,481.6,314.8,616.5,1,0,SUPPRESS_CHARTED
297,42.358733,-71.091934,10,0.613,2,761.9,SLCONS,761.9,662.7,3627.5,361.5,3261.0,1,0,KEEP_INCOV_UNCHARTED
298,42.360742,-71.088531,10,0.749,1,468.9,BUISGL,468.9,472.3,3353.7,274.4,2917.1,1,0,KEEP_INCOV_UNCHARTED
299,42.353834,-71.084994,10,0.725,2,196.6,SLCONS,196.6,196.6,3109.9,434.8,2907.6,1,0,KEEP_INCOV_UNCHARTED
300,42.356513,-71.092239,10,0.866,2,802.3,SLCONS,802.3,637.6,3662.6,420.4,3389.3,1,0,KEEP_INCOV_UNCHARTED
301,42.359021,-71.086508,10,0.706,2,322.4,SLCONS,322.4,302.4,3181.7,99.6,2843.3,1,0,KEEP_INCOV_UNCHARTED
302,42.359373,-71.086489,10,0.943,2,309.5,SLCONS,309.5,300.8,3180.4,130.1,2824.6,1,0,KEEP_INCOV_UNCHARTED
303,42.358092,-71.089849,10,0.600,2,615.7,SLCONS,615.7,576.8,3457.4,186.0,3135.2,1,0,KEEP_INCOV_UNCHARTED
304,42.359368,-71.086757,10,0.896,2,331.0,SLCONS,331.0,322.8,3202.4,118.2,2844.7,1,0,KEEP_INCOV_UNCHARTED
305,42.358947,-71.089492,10,0.599,2,560.5,SLCONS,560.5,547.5,3426.8,175.4,3068.1,1,0,KEEP_INCOV_UNCHARTED
306,42.360218,-71.088945,10,0.801,2,502.6,SLCONS,502.6,502.6,3384.7,236.6,2970.5,1,0,KEEP_INCOV_UNCHARTED
307,42.359159,-71.086822,10,0.958,2,342.1,SLCONS,342.1,328.2,3207.5,95.3,2859.6,1,0,KEEP_INCOV_UNCHARTED
308,42.359814,-71.087394,10,0.676,2,375.9,SLCONS,375.9,375.1,3255.8,155.1,2871.3,1,0,KEEP_INCOV_UNCHARTED
309,42.361587,-71.084354,10,0.652,2,136.5,BUISGL,136.5,198.3,3018.8,405.4,2563.8,1,0,KEEP_INCOV_UNCHARTED
310,42.358287,-71.090716,10,0.503,2,676.3,SLCONS,676.3,648.0,3528.1,257.0,3190.1,1,0,KEEP_INCOV_UNCHARTED
311,42.361688,-71.085243,10,0.552,2,207.2,BUISGL,207.2,258.0,3092.6,404.1,2627.2,1,0,KEEP_INCOV_UNCHARTED
312,42.359624,-71.082764,10,0.770,2,44.6,PONTON,44.6,5.3,2875.0,266.3,2539.2,1,0,SUPPRESS_CHARTED
313,42.358753,-71.089767,10,0.474,2,587.4,SLCONS,587.4,570.1,3449.4,188.4,3097.6,1,0,KEEP_INCOV_UNCHARTED
