rank,lat,lon,returns,dwell,nscen,d_fixed_m,fixed_class,d_radar_m,d_shore_m,d_aid_m,d_ownship_m,d_ais_m,in_coverage,in_moorarea,class
606,42.361437,-71.083187,6,0.701,1,47.5,BUISGL,47.5,136.9,2921.8,414.6,2482.2,1,0,SUPPRESS_CHARTED
607,42.360730,-71.083059,6,0.624,2,27.1,BUISGL,27.1,60.9,2904.9,355.4,2505.3,1,0,SUPPRESS_CHARTED
608,42.359857,-71.087065,6,0.750,2,348.6,SLCONS,348.6,348.1,3228.9,162.4,2844.7,1,0,KEEP_INCOV_UNCHARTED
609,42.355572,-71.082530,6,0.501,1,95.2,SLCONS,95.2,24.6,2879.6,265.3,2695.3,1,0,SUPPRESS_CHARTED
610,42.360312,-71.089471,6,0.676,2,545.9,SLCONS,545.9,545.9,3428.4,270.4,3006.6,1,0,KEEP_INCOV_UNCHARTED
611,42.360458,-71.084621,6,0.423,3,149.9,SLCONS,149.9,149.9,3031.1,278.7,2634.3,1,0,KEEP_INCOV_UNCHARTED
612,42.362138,-71.086068,6,0.627,1,266.4,BUISGL,266.4,342.1,3165.3,427.9,2672.7,1,0,KEEP_INCOV_UNCHARTED
613,42.360085,-71.083439,6,0.864,2,50.6,SLCONS,50.6,50.6,2932.2,287.8,2564.8,1,0,UNKNOWN_INCOV
614,42.356277,-71.083702,6,0.377,2,201.3,SLCONS,201.3,71.9,2966.1,251.5,2779.3,1,0,UNKNOWN_INCOV
615,42.356523,-71.083470,6,0.111,3,220.7,SLCONS,220.7,52.8,2944.5,243.2,2757.0,1,0,UNKNOWN_INCOV
616,42.357652,-71.091373,6,0.362,2,750.1,SLCONS,750.1,702.1,3584.3,316.2,3269.2,1,0,KEEP_INCOV_UNCHARTED
617,42.360018,-71.082150,6,0.802,2,27.4,PONTON,27.4,40.9,2826.0,248.9,2474.0,1,0,SUPPRESS_CHARTED
618,42.357786,-71.090064,6,0.527,2,644.6,SLCONS,644.6,594.5,3476.2,207.6,3166.0,1,0,KEEP_INCOV_UNCHARTED
619,42.358958,-71.085240,6,0.476,2,231.1,SLCONS,231.1,198.2,3077.4,104.3,2753.6,1,0,KEEP_INCOV_UNCHARTED
620,42.360089,-71.084366,6,0.567,2,126.6,SLCONS,126.6,126.6,3008.3,247.9,2632.9,1,0,KEEP_INCOV_UNCHARTED
621,42.360939,-71.083670,6,0.209,3,69.3,BUISGL,69.3,106.9,2956.6,357.8,2540.9,1,0,UNKNOWN_INCOV
622,42.361464,-71.083476,6,0.126,3,66.7,BUISGL,66.7,149.4,2945.7,417.3,2502.7,1,0,UNKNOWN_INCOV
623,42.356914,-71.084952,6,0.177,2,312.1,SLCONS,312.1,174.5,3062.2,132.5,2845.7,1,0,KEEP_INCOV_UNCHARTED
624,42.360502,-71.085231,6,0.167,3,200.2,SLCONS,200.2,200.2,3081.5,272.9,2677.9,1,0,KEEP_INCOV_UNCHARTED
625,42.360024,-71.084715,6,0.659,3,155.1,SLCONS,155.1,155.1,3036.6,230.4,2661.9,1,0,KEEP_INCOV_UNCHARTED
626,42.361675,-71.083932,6,0.062,3,109.5,BUISGL,109.5,186.9,2985.2,424.9,2528.0,1,0,KEEP_INCOV_UNCHARTED
627,42.357836,-71.091311,6,0.945,2,738.3,SLCONS,738.3,696.9,3578.4,308.5,3255.8,1,0,KEEP_INCOV_UNCHARTED
628,42.357828,-71.090635,6,0.787,2,686.4,SLCONS,686.4,641.4,3522.9,253.5,3206.0,1,0,KEEP_INCOV_UNCHARTED
629,42.359834,-71.029831,6,0.861,1,103.4,SLCONS,78.6,167.9,78.6,441.2,188.8,1,0,UNKNOWN_INCOV
630,42.357827,-71.028736,6,0.778,1,52.0,SLCONS,52.0,52.0,73.3,441.9,280.5,1,0,UNKNOWN_INCOV
631,42.361225,-71.044500,6,0.871,1,237.2,PONTON,237.2,271.9,369.0,190.2,429.0,1,0,KEEP_INCOV_UNCHARTED
632,42.359225,-71.027436,6,0.871,1,15.0,DYKCON,15.0,17.2,188.5,582.3,109.4,1,0,SUPPRESS_CHARTED
633,42.357368,-71.028959,6,0.851,1,100.2,SLCONS,52.2,100.2,52.2,421.3,334.7,1,1,KEEP_ANCHORAGE
634,42.359161,-71.029564,6,0.758,1,60.9,PILPNT,60.9,135.3,93.2,419.3,199.4,1,0,UNKNOWN_INCOV
635,42.363190,-71.029570,6,0.695,1,11.4,SLCONS,54.3,5.1,309.3,741.8,370.0,1,0,SUPPRESS_CHARTED
636,42.356491,-71.029604,6,0.674,1,210.3,SLCONS,132.0,210.3,132.0,382.3,297.9,1,1,KEEP_ANCHORAGE
637,42.362750,-71.030177,6,0.550,1,13.0,SLCONS,35.9,49.7,269.6,674.7,354.3,1,0,SUPPRESS_CHARTED
638,42.362329,-71.030436,6,0.685,1,28.6,SLCONS,61.6,72.3,232.6,623.4,332.6,1,0,UNKNOWN_INCOV
639,42.357578,-71.028297,6,0.529,1,49.8,SLCONS,38.5,49.8,38.5,476.0,297.7,1,0,SUPPRESS_CHARTED
640,42.360021,-71.044159,6,0.591,1,286.1,SLCONS,286.1,286.1,320.3,325.2,466.1,1,0,KEEP_INCOV_UNCHARTED
641,42.359004,-71.031375,6,0.592,1,89.3,OBSTRN,179.5,259.4,179.5,284.4,338.5,1,0,UNKNOWN_INCOV
642,42.358072,-71.047561,6,0.632,1,86.8,SLCONS,88.3,115.5,100.4,552.1,260.6,1,1,KEEP_ANCHORAGE
643,42.357803,-71.092606,6,0.787,1,840.6,SLCONS,840.6,607.5,3684.9,414.6,3353.7,1,0,KEEP_INCOV_UNCHARTED
644,42.357843,-71.084583,6,0.470,2,282.4,SLCONS,282.4,144.2,3026.0,89.6,2766.4,1,0,KEEP_INCOV_UNCHARTED
645,42.356736,-71.092311,6,0.866,1,814.9,SLCONS,814.9,631.7,3666.7,416.6,3383.3,1,0,KEEP_INCOV_UNCHARTED
646,42.359211,-71.084626,6,0.817,1,173.3,SLCONS,173.3,147.7,3027.1,151.8,2695.8,1,0,KEEP_INCOV_UNCHARTED
647,42.355363,-71.091706,6,0.708,1,734.5,SLCONS,734.5,681.4,3630.8,447.0,3411.3,1,0,KEEP_INCOV_UNCHARTED
648,42.361505,-71.084642,6,0.833,1,155.6,BUISGL,155.6,207.6,3041.5,391.0,2589.1,1,0,KEEP_INCOV_UNCHARTED
649,42.359622,-71.089804,6,0.550,1,574.9,SLCONS,574.9,573.2,3453.2,236.7,3061.2,1,0,KEEP_INCOV_UNCHARTED
650,42.358689,-71.092248,6,0.613,1,788.1,SLCONS,788.1,636.9,3653.3,386.3,3286.6,1,0,KEEP_INCOV_UNCHARTED
651,42.354660,-71.091340,6,0.518,1,699.4,SLCONS,699.4,699.3,3610.4,477.7,3424.1,1,0,KEEP_INCOV_UNCHARTED
652,42.355159,-71.091636,6,0.581,1,726.5,SLCONS,726.5,687.2,3627.6,456.9,3417.5,1,0,KEEP_INCOV_UNCHARTED
653,42.357162,-71.083198,6,0.111,2,280.0,SLCONS,280.0,30.5,2916.6,194.2,2709.3,1,0,SUPPRESS_CHARTED
654,42.357809,-71.083712,6,0.439,2,257.2,SLCONS,257.2,72.7,2954.7,160.2,2706.9,1,0,UNKNOWN_INCOV
655,42.354673,-71.079764,6,0.822,1,78.0,SLCONS,78.0,78.0,2670.4,343.8,2473.5,1,0,UNKNOWN_INCOV
656,42.355832,-71.075744,6,0.654,1,74.0,SLCONS,74.0,74.0,2323.4,419.9,2141.2,1,0,UNKNOWN_INCOV
657,42.361846,-71.078478,6,0.822,1,17.4,SLCONS,17.4,17.4,2542.2,347.6,2112.7,1,0,SUPPRESS_CHARTED
658,42.356267,-71.075609,6,0.613,1,36.8,BRIDGE,36.8,42.2,2305.7,396.1,2121.7,1,0,SUPPRESS_CHARTED
659,42.354925,-71.078561,6,0.905,1,84.4,BUISGL,84.4,85.6,2568.2,359.4,2373.8,1,0,UNKNOWN_INCOV
660,42.354498,-71.078557,6,0.832,1,40.1,BUISGL,40.1,130.2,2576.6,400.2,2375.4,1,0,SUPPRESS_CHARTED
661,42.355115,-71.077643,6,0.760,1,28.8,BRIDGE,28.8,92.8,2490.3,387.6,2297.8,1,0,SUPPRESS_CHARTED
662,42.355984,-71.076741,6,0.542,1,26.2,SLCONS,26.2,26.2,2402.1,351.4,2218.7,1,0,SUPPRESS_CHARTED
663,42.362070,-71.078542,6,0.585,1,2.2,BRIDGE,2.2,15.9,2550.7,370.6,2106.3,1,0,SUPPRESS_CHARTED
664,42.354223,-71.079837,6,0.512,1,33.0,BUISGL,33.0,122.8,2685.6,390.7,2482.0,1,0,SUPPRESS_CHARTED
665,42.354493,-71.080931,6,0.543,1,20.9,BRIDGE,20.9,63.5,2768.3,350.3,2570.2,1,0,SUPPRESS_CHARTED
666,42.354425,-71.079703,6,0.564,1,54.4,BUISGL,54.4,105.6,2670.5,371.8,2469.8,1,0,UNKNOWN_INCOV
667,42.361009,-71.079490,6,0.554,1,5.5,BRIDGE,5.5,26.5,2615.0,243.1,2229.3,1,0,SUPPRESS_CHARTED
668,42.374629,-71.048807,6,0.771,1,3.2,PONTON,3.2,49.6,432.4,225.7,700.1,1,0,SUPPRESS_CHARTED
669,42.377593,-71.051502,6,0.865,1,21.4,BUISGL,21.4,177.8,829.3,426.2,531.3,0,0,SUPPRESS_CHARTED
670,42.378267,-71.042391,6,0.898,1,27.6,SLCONS,27.6,27.6,666.5,294.5,193.3,0,0,SUPPRESS_CHARTED
671,42.374719,-71.050515,6,0.615,1,21.9,SLCONS,21.9,21.9,533.7,342.8,605.4,1,0,SUPPRESS_CHARTED
672,42.378691,-71.048086,6,0.584,1,6.6,SLCONS,6.6,6.6,787.5,175.2,305.7,0,0,SUPPRESS_CHARTED
673,42.378469,-71.043317,6,0.889,1,11.1,SLCONS,20.7,20.7,650.7,216.7,167.9,0,0,SUPPRESS_CHARTED
674,42.377624,-71.050222,6,0.948,1,2.5,BUISGL,2.5,80.4,777.1,324.4,472.8,0,0,SUPPRESS_CHARTED
675,42.380005,-71.047498,6,0.959,1,12.6,SLCONS,12.6,12.6,644.9,202.8,157.7,0,0,SUPPRESS_CHARTED
676,42.378024,-71.042047,6,0.899,1,16.4,SLCONS,16.4,16.4,693.3,326.3,227.3,0,0,SUPPRESS_CHARTED
677,42.380354,-71.046871,6,0.605,1,55.1,SLCONS,55.1,55.1,581.6,210.7,134.0,0,0,UNKNOWN_OUTCOV
678,42.377148,-71.041419,6,0.857,1,33.7,BUISGL,33.7,12.3,723.4,396.5,336.6,0,0,SUPPRESS_CHARTED
679,42.380139,-71.047256,6,0.783,1,28.9,SLCONS,28.9,28.9,620.5,203.4,145.8,0,0,SUPPRESS_CHARTED
680,42.375094,-71.042025,6,0.784,1,10.3,SLCONS,3.0,7.7,504.4,390.6,545.9,0,0,SUPPRESS_CHARTED
681,42.379631,-71.049606,6,0.782,1,17.4,SLCONS,17.4,17.4,799.3,322.1,256.8,0,0,SUPPRESS_CHARTED
682,42.379153,-71.042615,6,0.857,1,6.9,SLCONS,6.9,6.9,568.9,281.2,93.4,0,0,SUPPRESS_CHARTED
683,42.378291,-71.048759,6,0.771,1,33.5,SLCONS,33.5,33.5,797.8,219.4,360.1,0,0,SUPPRESS_CHARTED
684,42.379166,-71.049440,6,0.709,1,30.3,SLCONS,30.3,30.3,823.5,293.9,291.4,0,0,SUPPRESS_CHARTED
685,42.378263,-71.048371,6,0.823,1,39.3,SLCONS,39.3,39.3,785.4,187.6,356.3,0,0,SUPPRESS_CHARTED
686,42.375584,-71.042728,6,0.826,1,3.4,SLCONS,17.8,38.2,519.1,324.5,486.4,0,0,SUPPRESS_CHARTED
687,42.379362,-71.048111,6,0.824,1,13.3,SLCONS,13.3,13.3,731.7,197.5,232.2,0,0,SUPPRESS_CHARTED
688,42.378508,-71.042345,6,0.543,1,20.5,BUISGL,20.5,34.2,639.5,296.3,168.5,0,0,SUPPRESS_CHARTED
689,42.377156,-71.040804,6,0.857,1,36.4,BUISGL,36.4,47.0,750.2,445.0,357.8,0,0,SUPPRESS_CHARTED
690,42.375844,-71.051420,6,0.584,1,1.0,BUISGL,1.0,93.9,674.3,391.5,664.1,0,0,SUPPRESS_CHARTED
691,42.379413,-71.050804,6,0.720,1,6.6,BUISGL,6.6,11.0,808.1,409.3,343.2,0,0,SUPPRESS_CHARTED
692,42.379624,-71.048993,6,0.813,1,21.9,SLCONS,21.9,21.9,761.9,275.4,228.9,0,0,SUPPRESS_CHARTED
693,42.375165,-71.049635,6,0.793,1,3.4,PONTON,3.4,31.1,520.9,257.8,690.8,0,0,SUPPRESS_CHARTED
694,42.377827,-71.041749,6,0.774,1,24.7,BUISGL,24.7,36.1,715.9,354.0,256.5,0,0,SUPPRESS_CHARTED
695,42.377354,-71.041696,6,0.648,1,13.5,SLCONS,13.5,9.3,732.9,368.6,307.1,0,0,SUPPRESS_CHARTED
696,42.375370,-71.048116,6,0.751,1,8.4,SLCONS,8.4,52.9,475.5,133.3,663.2,0,0,SUPPRESS_CHARTED
697,42.374659,-71.049011,6,0.637,1,6.1,PONTON,6.1,46.1,445.1,237.1,689.4,1,0,SUPPRESS_CHARTED
698,42.377819,-71.040598,6,0.554,1,6.3,BUISGL,6.3,89.1,727.4,447.5,306.2,0,0,SUPPRESS_CHARTED
699,42.375998,-71.049343,6,0.605,1,7.5,PONTON,7.5,31.2,584.1,221.1,619.1,0,0,SUPPRESS_CHARTED
700,42.357564,-71.043849,5,0.477,2,230.6,OBSTRN,221.8,291.3,221.8,492.7,525.7,1,1,KEEP_ANCHORAGE
701,42.365646,-71.040835,5,0.664,2,4.8,SLCONS,4.8,4.8,762.7,445.4,323.8,1,0,SUPPRESS_CHARTED
702,42.358466,-71.044452,5,0.637,2,229.7,OBSTRN,279.1,315.2,279.1,487.2,479.6,1,0,KEEP_INCOV_UNCHARTED
703,42.365706,-71.037160,5,0.384,2,93.5,SLCONS,93.5,93.5,874.1,716.9,614.8,1,0,UNKNOWN_INCOV
704,42.358448,-71.048073,5,0.637,2,32.4,SLCONS,32.4,56.2,61.7,528.3,202.3,1,0,SUPPRESS_CHARTED
705,42.358262,-71.045717,5,0.701,2,144.1,OBSTRN,186.6,236.9,186.6,503.5,386.1,1,1,KEEP_ANCHORAGE
706,42.362306,-71.047502,5,0.318,2,5.0,PONTON,5.0,41.7,372.7,176.9,237.8,1,0,SUPPRESS_CHARTED
707,42.358682,-71.046532,5,0.318,2,136.8,PILPNT,107.3,159.9,107.3,464.8,308.1,1,1,KEEP_ANCHORAGE
708,42.354837,-71.043221,5,0.674,2,17.6,PONTON,17.6,37.9,113.7,638.3,451.9,1,0,SUPPRESS_CHARTED
709,42.365919,-71.037503,5,0.383,2,113.7,SLCONS,113.7,113.7,911.0,700.0,583.3,1,0,KEEP_INCOV_UNCHARTED
710,42.358064,-71.045078,5,0.448,2,161.6,OBSTRN,243.6,293.8,243.6,525.8,443.0,1,1,KEEP_ANCHORAGE
711,42.365895,-71.037209,5,0.280,2,113.1,SLCONS,113.1,113.1,891.4,721.0,607.6,1,0,KEEP_INCOV_UNCHARTED
712,42.365020,-71.039045,5,0.383,2,17.0,SLCONS,17.0,17.0,903.7,545.0,486.1,1,0,SUPPRESS_CHARTED
713,42.366788,-71.038988,5,0.383,2,170.5,SLCONS,170.5,170.5,760.4,642.8,455.8,1,0,KEEP_INCOV_UNCHARTED
714,42.365467,-71.040568,5,0.809,2,25.5,SLCONS,25.5,25.5,791.2,453.0,351.4,1,0,SUPPRESS_CHARTED
715,42.373045,-71.055811,5,0.823,1,30.2,DRYDOC,30.2,77.5,846.6,256.5,268.1,1,0,SUPPRESS_CHARTED
716,42.371805,-71.053976,5,0.759,1,16.6,SLCONS,16.6,16.6,678.6,102.5,174.3,1,0,SUPPRESS_CHARTED
717,42.374845,-71.051225,5,0.198,2,0.8,BUISGL,0.8,17.6,586.9,393.1,579.5,1,0,SUPPRESS_CHARTED
718,42.373830,-71.048477,5,0.315,2,2.8,PONTON,2.8,41.9,345.8,273.7,670.5,1,0,SUPPRESS_CHARTED
719,42.372414,-71.061447,5,0.823,1,182.4,SLCONS,182.4,182.4,1295.7,584.6,530.7,1,0,KEEP_INCOV_UNCHARTED
720,42.371531,-71.057209,5,0.759,1,15.4,BUISGL,15.4,40.4,943.3,223.1,177.1,1,0,SUPPRESS_CHARTED
721,42.379177,-71.051794,5,0.261,2,28.5,BUISGL,28.5,60.5,823.2,484.6,423.3,0,0,SUPPRESS_CHARTED
722,42.374481,-71.050571,5,0.281,2,4.8,SLCONS,4.8,4.8,519.7,357.9,582.7,1,0,SUPPRESS_CHARTED
723,42.372703,-71.059103,5,0.759,1,81.8,BUISGL,81.8,121.4,1107.4,419.3,379.5,1,0,UNKNOWN_INCOV
724,42.373130,-71.056701,5,0.759,1,47.3,SLCONS,47.3,47.3,920.1,302.7,295.3,1,0,SUPPRESS_CHARTED
725,42.375840,-71.052341,5,0.759,2,23.2,BUISGL,23.2,93.5,728.6,467.2,629.7,0,0,SUPPRESS_CHARTED
726,42.371539,-71.051116,5,0.759,1,5.0,SLCONS,5.0,5.0,442.8,283.2,366.5,1,0,SUPPRESS_CHARTED
727,42.371792,-71.050212,5,0.759,1,6.7,SLCONS,6.7,6.7,370.1,362.2,445.7,1,0,SUPPRESS_CHARTED
728,42.372661,-71.044730,5,0.230,2,20.8,SLCONS,20.8,20.8,155.2,392.5,649.3,1,0,SUPPRESS_CHARTED
729,42.372200,-71.046052,5,0.507,1,56.3,SLCONS,56.3,56.3,84.9,413.5,608.6,1,0,UNKNOWN_INCOV
730,42.369070,-71.044514,5,0.759,1,5.7,OBSTRN,51.0,42.0,285.4,638.1,250.4,1,0,UNKNOWN_INCOV
731,42.368789,-71.051157,5,0.695,1,7.9,SLCONS,7.9,7.9,536.8,363.7,402.0,1,0,SUPPRESS_CHARTED
732,42.376063,-71.045739,5,0.379,2,147.9,PONTON,147.9,174.3,510.2,72.5,489.5,0,0,UNKNOWN_OUTCOV
733,42.376676,-71.051701,5,0.128,2,15.3,BUISGL,15.3,156.5,758.5,421.4,624.6,0,0,SUPPRESS_CHARTED
734,42.377798,-71.051821,5,0.303,2,13.2,BUISGL,13.2,197.7,863.1,456.7,529.9,0,0,SUPPRESS_CHARTED
735,42.376266,-71.051747,5,0.709,2,17.1,BUISGL,17.1,140.8,726.9,420.2,665.4,0,0,SUPPRESS_CHARTED
736,42.372900,-71.044760,5,0.365,2,0.7,SLCONS,0.7,0.7,177.2,367.3,675.9,1,0,SUPPRESS_CHARTED
737,42.358304,-71.084082,5,0.074,2,217.5,SLCONS,217.5,103.1,2983.2,130.0,2705.1,1,0,KEEP_INCOV_UNCHARTED
738,42.360341,-71.082209,5,0.223,3,8.2,SLCONS,8.2,8.2,2832.5,273.6,2461.8,1,0,SUPPRESS_CHARTED
739,42.360026,-71.086492,5,0.673,1,301.0,SLCONS,301.0,301.0,3182.5,193.8,2794.1,1,0,KEEP_INCOV_UNCHARTED
740,42.357150,-71.085540,5,0.074,2,361.8,SLCONS,361.8,222.8,3108.6,86.9,2873.3,1,0,KEEP_INCOV_UNCHARTED
741,42.358059,-71.090763,5,0.709,2,687.7,SLCONS,687.7,651.9,3532.6,261.3,3204.4,1,0,KEEP_INCOV_UNCHARTED
742,42.356244,-71.083423,5,0.603,1,190.1,SLCONS,190.1,48.9,2943.7,257.4,2757.1,1,0,UNKNOWN_INCOV
743,42.359385,-71.088574,5,0.771,2,477.5,SLCONS,477.5,472.1,3351.7,144.0,2979.3,1,0,KEEP_INCOV_UNCHARTED
744,42.360470,-71.089436,5,0.583,2,543.7,SLCONS,543.7,543.7,3426.3,282.6,2997.4,1,0,KEEP_INCOV_UNCHARTED
745,42.361471,-71.087945,5,0.219,2,422.4,BUISGL,422.4,443.3,3311.4,342.2,2843.0,1,0,KEEP_INCOV_UNCHARTED
746,42.359637,-71.083455,5,0.677,3,67.3,SLCONS,67.3,51.5,2931.7,250.0,2588.6,1,0,UNKNOWN_INCOV
747,42.353956,-71.084877,5,0.678,2,182.3,SLCONS,182.3,182.3,3098.0,425.6,2897.2,1,0,KEEP_INCOV_UNCHARTED
748,42.354022,-71.084657,5,0.314,2,162.9,SLCONS,162.9,162.9,3078.9,425.9,2878.7,1,0,KEEP_INCOV_UNCHARTED
749,42.359894,-71.088240,5,0.652,1,444.9,SLCONS,444.9,444.7,3325.5,177.8,2931.2,1,0,KEEP_INCOV_UNCHARTED
750,42.360397,-71.089330,5,0.527,2,534.6,SLCONS,534.6,534.6,3417.2,270.8,2992.3,1,0,KEEP_INCOV_UNCHARTED
751,42.357831,-71.091074,5,0.757,2,720.1,SLCONS,720.1,677.4,3558.9,289.2,3238.4,1,0,KEEP_INCOV_UNCHARTED
752,42.362097,-71.085278,5,0.094,2,201.8,BUISGL,201.8,291.1,3100.3,444.8,2613.5,1,0,KEEP_INCOV_UNCHARTED
753,42.361643,-71.083746,5,0.327,2,96.5,BUISGL,96.5,176.8,2969.7,426.9,2515.3,1,0,UNKNOWN_INCOV
754,42.360060,-71.086683,5,0.327,2,316.8,SLCONS,316.8,316.8,3198.3,191.9,2806.8,1,0,KEEP_INCOV_UNCHARTED
755,42.357399,-71.091691,5,0.268,2,784.7,SLCONS,784.7,682.6,3611.7,347.0,3305.0,1,0,KEEP_INCOV_UNCHARTED
756,42.360903,-71.082780,5,0.937,2,2.4,BUISGL,2.4,69.2,2883.4,349.7,2476.3,1,0,SUPPRESS_CHARTED
757,42.360311,-71.081646,5,0.352,2,30.0,SLCONS,30.0,30.0,2786.2,236.6,2422.2,1,0,SUPPRESS_CHARTED
758,42.356248,-71.082852,5,0.228,2,174.9,SLCONS,174.9,2.1,2897.0,221.6,2710.5,1,0,SUPPRESS_CHARTED
759,42.356720,-71.084867,5,0.209,2,290.4,SLCONS,290.4,167.6,3057.0,154.6,2851.3,1,0,KEEP_INCOV_UNCHARTED
760,42.358030,-71.090476,5,0.395,2,666.5,SLCONS,666.5,628.4,3509.2,238.0,3184.6,1,0,KEEP_INCOV_UNCHARTED
761,42.358328,-71.088889,5,0.331,2,532.6,SLCONS,532.6,497.9,3377.9,107.4,3052.7,1,0,KEEP_INCOV_UNCHARTED
762,42.358045,-71.091355,5,0.662,2,734.4,SLCONS,734.4,700.5,3581.3,309.9,3249.1,1,0,KEEP_INCOV_UNCHARTED
763,42.360830,-71.081002,5,0.680,2,4.7,SLCONS,4.7,4.7,2737.1,251.6,2348.7,1,0,SUPPRESS_CHARTED
764,42.359848,-71.084685,5,0.205,3,153.8,SLCONS,153.8,152.5,3033.4,212.9,2668.2,1,0,KEEP_INCOV_UNCHARTED
765,42.361845,-71.027435,5,0.581,1,65.4,PILPNT,65.4,70.4,220.0,735.8,183.0,1,0,UNKNOWN_INCOV
766,42.358517,-71.030138,5,0.550,1,101.5,PILPNT,64.9,162.9,64.9,346.8,281.1,1,0,UNKNOWN_INCOV
767,42.353499,-71.028059,5,0.767,1,397.5,SLCONS,367.5,417.7,367.5,659.3,90.5,1,0,KEEP_INCOV_UNCHARTED
768,42.361646,-71.028303,5,0.768,1,95.6,PONTON,95.6,135.5,158.9,668.7,170.9,1,0,UNKNOWN_INCOV
769,42.356491,-71.026230,5,0.602,1,56.7,SLCONS,56.7,56.7,192.7,653.5,269.1,1,1,UNKNOWN_INCOV
770,42.356745,-71.029005,5,0.954,1,158.9,SLCONS,76.4,158.9,76.4,424.0,299.0,1,1,KEEP_ANCHORAGE
771,42.356476,-71.026803,5,0.602,1,83.4,SLCONS,83.4,83.4,152.5,607.4,252.1,1,1,KEEP_ANCHORAGE
772,42.353086,-71.044457,5,0.632,1,28.5,SLCONS,28.5,28.5,230.5,854.7,463.3,1,0,SUPPRESS_CHARTED
773,42.356013,-71.026231,5,0.508,1,90.0,SLCONS,90.0,101.6,166.5,663.9,221.5,1,1,KEEP_ANCHORAGE
774,42.356035,-71.027114,5,0.716,1,138.6,SLCONS,138.6,138.6,167.5,593.0,198.7,1,1,KEEP_ANCHORAGE
775,42.359366,-71.026546,5,0.768,1,78.0,LNDMRK,78.0,83.4,253.8,656.4,126.0,1,0,UNKNOWN_INCOV
776,42.357780,-71.026509,5,0.633,1,48.3,DYKCON,48.3,50.5,163.0,623.8,283.4,1,0,SUPPRESS_CHARTED
777,42.355567,-71.027434,5,0.612,1,196.5,SLCONS,196.5,196.5,200.0,583.9,143.7,1,1,KEEP_ANCHORAGE
778,42.359638,-71.026227,5,0.705,1,57.2,BUISGL,57.2,98.2,266.1,691.4,127.7,1,0,UNKNOWN_INCOV
779,42.360058,-71.025943,5,0.674,1,44.9,BUISGL,44.9,77.6,277.8,730.8,135.5,1,0,SUPPRESS_CHARTED
780,42.359170,-71.027093,5,0.840,1,31.3,LNDMRK,31.3,46.1,210.3,606.9,121.6,1,0,SUPPRESS_CHARTED
781,42.363686,-71.028665,5,0.799,1,15.5,SLCONS,15.5,15.5,367.1,827.5,397.3,1,0,SUPPRESS_CHARTED
782,42.365320,-71.039281,5,0.664,1,6.2,SLCONS,6.2,6.2,865.4,539.5,456.2,1,0,SUPPRESS_CHARTED
783,42.357603,-71.029275,5,0.778,1,102.8,SLCONS,81.7,102.8,81.7,395.8,320.6,1,1,KEEP_ANCHORAGE
784,42.352835,-71.044747,5,0.663,1,64.8,SLCONS,64.8,64.8,264.6,891.3,482.6,1,0,UNKNOWN_INCOV
785,42.362760,-71.029261,5,0.799,1,15.1,SLCONS,60.7,53.3,260.6,714.6,315.9,1,0,UNKNOWN_INCOV
786,42.356008,-71.028656,5,0.529,1,211.6,SLCONS,138.6,211.6,138.6,472.8,212.4,1,1,KEEP_ANCHORAGE
787,42.361679,-71.028932,5,0.758,1,69.7,OBSTRN,100.5,174.1,143.4,635.8,197.8,1,0,UNKNOWN_INCOV
788,42.361444,-71.028401,5,0.612,1,117.2,OBSTRN,117.6,134.5,135.5,647.3,153.4,1,0,KEEP_INCOV_UNCHARTED
789,42.359372,-71.030108,5,0.799,1,111.0,PILPNT,111.0,179.7,129.8,392.7,226.7,1,0,KEEP_INCOV_UNCHARTED
790,42.353344,-71.029849,5,0.726,1,386.5,SLCONS,386.5,386.5,449.6,571.0,215.0,1,0,KEEP_INCOV_UNCHARTED
791,42.362283,-71.030226,5,0.612,1,12.6,SLCONS,71.7,84.0,221.4,627.5,317.0,1,0,UNKNOWN_INCOV
792,42.356917,-71.028001,5,0.747,1,97.7,SLCONS,45.4,97.7,45.4,503.0,295.6,1,1,KEEP_ANCHORAGE
793,42.357337,-71.027473,5,0.602,1,34.7,SLCONS,34.7,34.7,73.0,543.4,318.8,1,0,SUPPRESS_CHARTED
794,42.364117,-71.028375,5,0.529,1,11.7,SLCONS,11.7,14.1,418.3,880.7,440.1,1,0,SUPPRESS_CHARTED
795,42.362280,-71.031105,5,0.612,1,25.2,SLCONS,30.9,30.9,255.3,593.5,370.0,1,0,SUPPRESS_CHARTED
796,42.365262,-71.030824,5,0.591,1,112.3,BUISGL,112.3,178.6,553.3,891.8,622.2,1,0,KEEP_INCOV_UNCHARTED
797,42.363657,-71.044485,5,0.684,1,232.4,SLCONS,232.4,232.4,588.4,73.7,333.2,1,0,KEEP_INCOV_UNCHARTED
798,42.364809,-71.039925,5,0.705,1,7.8,SLCONS,7.8,7.8,881.3,469.0,430.5,1,0,SUPPRESS_CHARTED
799,42.365670,-71.040212,5,0.705,1,38.1,SLCONS,38.1,38.1,788.7,489.7,371.5,1,0,SUPPRESS_CHARTED
800,42.357778,-71.029885,5,0.633,1,138.5,PILPNT,74.0,141.3,74.0,347.5,329.1,1,1,KEEP_ANCHORAGE
801,42.363209,-71.030223,5,0.695,1,2.1,SLCONS,27.4,32.3,319.8,718.2,398.3,1,0,SUPPRESS_CHARTED
